2025_id,driver_name,qualifying_time,circuit
1,Oscar_Piastri,1m 10s 129ms,Circuit_de_Monaco
2,Lando_Norris,1m 9s 956ms,Circuit_de_Monaco
3,Max_Verstappen,1m 10s 669ms,Circuit_de_Monaco
4,Lewis_Hamilton,1m 10s 382ms,Circuit_de_Monaco
5,Charles_Leclerc,1m 10s 63ms,Circuit_de_Monaco
6,Isack_Hadjar,1m 10s 923ms,Circuit_de_Monaco
7,Fernando_Alonso,1m 10s 924ms,Circuit_de_Monaco
8,Esteban_Ocon,1m 10s 942ms,Circuit_de_Monaco
9,Liam_Lawson,1m 11s 129ms,Circuit_de_Monaco
10,Alex_Albon,1m 11s 213ms,Circuit_de_Monaco
11,Carlos_Sainz,1m 11s 362ms,Circuit_de_Monaco
12,Yuki_Tsunoda,1m 11s 415ms,Circuit_de_Monaco
13,Nico_Hulkenberg,1m 11s 596ms,Circuit_de_Monaco
14,George_Russell,,Circuit_de_Monaco
15,Kimi_Antonelli,,Circuit_de_Monaco
16,Gabriel_Bortoleto,1m 11s 902ms,Circuit_de_Monaco
17,Oliver_Bearman,1m 11s 979ms,Circuit_de_Monaco
18,Pierre_Gasly,1m 11s 994ms,Circuit_de_Monaco
19,Lance_Stroll,1m 12s 563ms,Circuit_de_Monaco
20,Franco_Colapinto,1m 12s 597ms,Circuit_de_Monaco
21,Oscar_Piastri,1m 15s 180ms,Albert_Park_Grand_Prix_Circuit
22,Lando_Norris,1m 15s 96ms,Albert_Park_Grand_Prix_Circuit
23,Max_Verstappen,1m 15s 481ms,Albert_Park_Grand_Prix_Circuit
24,Lewis_Hamilton,1m 15s 975ms,Albert_Park_Grand_Prix_Circuit
25,Charles_Leclerc,1m 15s 755ms,Albert_Park_Grand_Prix_Circuit
26,Isack_Hadjar,1m 16s 175ms,Albert_Park_Grand_Prix_Circuit
27,Fernando_Alonso,1m 16s 288ms,Albert_Park_Grand_Prix_Circuit
28,Esteban_Ocon,1m 17s 147ms,Albert_Park_Grand_Prix_Circuit
29,Liam_Lawson,1m 17s 94ms,Albert_Park_Grand_Prix_Circuit
30,Alex_Albon,1m 15s 737ms,Albert_Park_Grand_Prix_Circuit
31,Carlos_Sainz,1m 15s 931ms,Albert_Park_Grand_Prix_Circuit
32,Yuki_Tsunoda,1m 15s 670ms,Albert_Park_Grand_Prix_Circuit
33,Nico_Hulkenberg,1m 16s 579ms,Albert_Park_Grand_Prix_Circuit
34,George_Russell,1m 15s 546ms,Albert_Park_Grand_Prix_Circuit
35,Kimi_Antonelli,1m 16s 525ms,Albert_Park_Grand_Prix_Circuit
36,Gabriel_Bortoleto,1m 16s 516ms,Albert_Park_Grand_Prix_Circuit
37,Oliver_Bearman,,Albert_Park_Grand_Prix_Circuit
38,Pierre_Gasly,1m 15s 980ms,Albert_Park_Grand_Prix_Circuit
39,Lance_Stroll,1m 16s 369ms,Albert_Park_Grand_Prix_Circuit
40,Jack_Doohan,1m 16s 315ms,Albert_Park_Grand_Prix_Circuit
41,Oscar_Piastri,1m 30s 641ms,Shanghai_International_Circuit
42,Lando_Norris,1m 30s 793ms,Shanghai_International_Circuit
43,Max_Verstappen,1m 30s 817ms,Shanghai_International_Circuit
44,Lewis_Hamilton,1m 30s 927ms,Shanghai_International_Circuit
45,Charles_Leclerc,1m 31s 21ms,Shanghai_International_Circuit
46,Isack_Hadjar,1m 31s 79ms,Shanghai_International_Circuit
47,Fernando_Alonso,1m 31s 688ms,Shanghai_International_Circuit
48,Esteban_Ocon,1m 31s 625ms,Shanghai_International_Circuit
49,Liam_Lawson,1m 32s 174ms,Shanghai_International_Circuit
50,Alex_Albon,1m 31s 76ms,Shanghai_International_Circuit
51,Carlos_Sainz,1m 31s 628ms,Shanghai_International_Circuit
52,Yuki_Tsunoda,1m 31s 238ms,Shanghai_International_Circuit
53,Nico_Hulkenberg,1m 31s 632ms,Shanghai_International_Circuit
54,George_Russell,1m 30s 723ms,Shanghai_International_Circuit
55,Kimi_Antonelli,1m 31s 103ms,Shanghai_International_Circuit
56,Gabriel_Bortoleto,1m 32s 141ms,Shanghai_International_Circuit
57,Oliver_Bearman,1m 32s 18ms,Shanghai_International_Circuit
58,Pierre_Gasly,1m 31s 992ms,Shanghai_International_Circuit
59,Lance_Stroll,1m 31s 773ms,Shanghai_International_Circuit
60,Jack_Doohan,1m 32s 92ms,Shanghai_International_Circuit
61,Oscar_Piastri,1m 27s 27ms,Suzuka_Circuit
62,Lando_Norris,1m 26s 995ms,Suzuka_Circuit
63,Max_Verstappen,1m 26s 983ms,Suzuka_Circuit
64,Lewis_Hamilton,1m 27s 610ms,Suzuka_Circuit
65,Charles_Leclerc,1m 27s 299ms,Suzuka_Circuit
66,Isack_Hadjar,1m 27s 569ms,Suzuka_Circuit
67,Fernando_Alonso,1m 27s 897ms,Suzuka_Circuit
68,Esteban_Ocon,1m 28s 696ms,Suzuka_Circuit
69,Liam_Lawson,1m 27s 906ms,Suzuka_Circuit
70,Alex_Albon,1m 27s 615ms,Suzuka_Circuit
71,Carlos_Sainz,1m 27s 836ms,Suzuka_Circuit
72,Yuki_Tsunoda,1m 27s 967ms,Suzuka_Circuit
73,Nico_Hulkenberg,1m 28s 570ms,Suzuka_Circuit
74,George_Russell,1m 27s 318ms,Suzuka_Circuit
75,Kimi_Antonelli,1m 27s 555ms,Suzuka_Circuit
76,Gabriel_Bortoleto,1m 28s 622ms,Suzuka_Circuit
77,Oliver_Bearman,1m 27s 711ms,Suzuka_Circuit
78,Pierre_Gasly,1m 27s 822ms,Suzuka_Circuit
79,Lance_Stroll,1m 29s 271ms,Suzuka_Circuit
80,Jack_Doohan,1m 28s 877ms,Suzuka_Circuit
81,Oscar_Piastri,1m 29s 841ms,Bahrain_International_Circuit
82,Lando_Norris,1m 30s 267ms,Bahrain_International_Circuit
83,Max_Verstappen,1m 30s 423ms,Bahrain_International_Circuit
84,Lewis_Hamilton,1m 30s 772ms,Bahrain_International_Circuit
85,Charles_Leclerc,1m 30s 175ms,Bahrain_International_Circuit
86,Isack_Hadjar,1m 31s 271ms,Bahrain_International_Circuit
87,Fernando_Alonso,1m 31s 886ms,Bahrain_International_Circuit
88,Esteban_Ocon,1m 31s 594ms,Bahrain_International_Circuit
89,Liam_Lawson,1m 32s 165ms,Bahrain_International_Circuit
90,Alex_Albon,1m 32s 40ms,Bahrain_International_Circuit
91,Carlos_Sainz,1m 30s 680ms,Bahrain_International_Circuit
92,Yuki_Tsunoda,1m 31s 228ms,Bahrain_International_Circuit
93,Nico_Hulkenberg,1m 32s 67ms,Bahrain_International_Circuit
94,George_Russell,1m 30s 9ms,Bahrain_International_Circuit
95,Kimi_Antonelli,1m 30s 213ms,Bahrain_International_Circuit
96,Gabriel_Bortoleto,1m 32s 186ms,Bahrain_International_Circuit
97,Oliver_Bearman,1m 32s 373ms,Bahrain_International_Circuit
98,Pierre_Gasly,1m 30s 216ms,Bahrain_International_Circuit
99,Lance_Stroll,1m 32s 283ms,Bahrain_International_Circuit
100,Jack_Doohan,1m 31s 245ms,Bahrain_International_Circuit
101,Oscar_Piastri,1m 27s 304ms,Jeddah_Corniche_Circuit
102,Lando_Norris,1m 27s 481ms,Jeddah_Corniche_Circuit
103,Max_Verstappen,1m 27s 294ms,Jeddah_Corniche_Circuit
104,Lewis_Hamilton,1m 28s 102ms,Jeddah_Corniche_Circuit
105,Charles_Leclerc,1m 27s 670ms,Jeddah_Corniche_Circuit
106,Isack_Hadjar,1m 28s 418ms,Jeddah_Corniche_Circuit
107,Fernando_Alonso,1m 28s 303ms,Jeddah_Corniche_Circuit
108,Esteban_Ocon,1m 29s 92ms,Jeddah_Corniche_Circuit
109,Liam_Lawson,1m 28s 191ms,Jeddah_Corniche_Circuit
110,Alex_Albon,1m 28s 109ms,Jeddah_Corniche_Circuit
111,Carlos_Sainz,1m 28s 24ms,Jeddah_Corniche_Circuit
112,Yuki_Tsunoda,1m 27s 990ms,Jeddah_Corniche_Circuit
113,Nico_Hulkenberg,1m 28s 782ms,Jeddah_Corniche_Circuit
114,George_Russell,1m 27s 407ms,Jeddah_Corniche_Circuit
115,Kimi_Antonelli,1m 27s 866ms,Jeddah_Corniche_Circuit
116,Gabriel_Bortoleto,1m 29s 462ms,Jeddah_Corniche_Circuit
117,Oliver_Bearman,1m 28s 536ms,Jeddah_Corniche_Circuit
118,Pierre_Gasly,1m 28s 25ms,Jeddah_Corniche_Circuit
119,Lance_Stroll,1m 28s 645ms,Jeddah_Corniche_Circuit
120,Jack_Doohan,1m 28s 739ms,Jeddah_Corniche_Circuit
121,Oscar_Piastri,1m 26s 375ms,Miami_International_Autodrome
122,Lando_Norris,1m 26s 269ms,Miami_International_Autodrome
123,Max_Verstappen,1m 26s 204ms,Miami_International_Autodrome
124,Lewis_Hamilton,1m 27s 6ms,Miami_International_Autodrome
125,Charles_Leclerc,1m 26s 754ms,Miami_International_Autodrome
126,Isack_Hadjar,1m 26s 987ms,Miami_International_Autodrome
127,Fernando_Alonso,1m 27s 604ms,Miami_International_Autodrome
128,Esteban_Ocon,1m 26s 824ms,Miami_International_Autodrome
129,Liam_Lawson,1m 27s 363ms,Miami_International_Autodrome
130,Alex_Albon,1m 26s 682ms,Miami_International_Autodrome
131,Carlos_Sainz,1m 26s 569ms,Miami_International_Autodrome
132,Yuki_Tsunoda,1m 26s 943ms,Miami_International_Autodrome
133,Nico_Hulkenberg,1m 27s 473ms,Miami_International_Autodrome
134,George_Russell,1m 26s 385ms,Miami_International_Autodrome
135,Kimi_Antonelli,1m 26s 271ms,Miami_International_Autodrome
136,Gabriel_Bortoleto,1m 27s 171ms,Miami_International_Autodrome
137,Oliver_Bearman,1m 29s 999ms,Miami_International_Autodrome
138,Pierre_Gasly,1m 27s 710ms,Miami_International_Autodrome
139,Lance_Stroll,1m 27s 830ms,Miami_International_Autodrome
140,Jack_Doohan,1m 27s 186ms,Miami_International_Autodrome